Road,Progress_m,RelativeElevation_m,LocalTurning_K_deg,LocalSlopeVariation_G_deg,Dstar_m,ValidForCorrelation,IsAdaptiveWaypoint,RoadEndWindowClass
A,0,0,0.785892640765263,0.139123503811897,4.02846364068316,1,1,FullD0Window
A,2.01366723778217,0.220199404408845,1.17404015473564,0.199655678327214,6.04316976171465,1,0,FullD0Window
A,4.02846364068316,0.442135506246359,1.52316393807119,0.249422172182599,6.04340492713304,1,1,FullD0Window
A,6.0432458970833,0.664663644724783,1.58313105403958,0.320567368169305,6.05176839176971,1,0,FullD0Window
A,8.05683699949681,0.886239204131698,1.79687446069034,0.35268576279103,6.06581737128618,1,0,FullD0Window
A,10.0718685678162,1.10573867125117,2.25027290044491,0.35500104439572,6.0783718550899,1,1,FullD0Window
A,12.095014288853,1.32267751285724,2.91437683805551,0.35626645422199,8.09226834666569,1,0,FullD0Window
A,14.122654370783,1.53741677037408,4.5571172889898,0.348102174164616,8.0663141711484,1,0,FullD0Window
A,16.1502404229061,1.74953820085909,7.35731214324217,0.302126207685153,8.02575231942377,1,1,FullD0Window
A,18.1731985711694,1.95855055707023,10.8218078300487,0.241305020863021,7.97773521499813,1,0,FullD0Window
A,20.1872826355187,2.16374377675436,13.2856272971424,0.169316603128778,7.96322044316481,1,0,FullD0Window
A,22.1889685419314,2.36432627706824,13.6538484277625,0.130549420683859,7.98659481017697,1,0,FullD0Window
A,24.1759927423299,2.56080841795062,12.372063993516,0.166998628158874,8.02723645702634,1,1,FullD0Window
A,26.1509337861675,2.75577268189295,9.60197999415254,0.204868519149383,8.06104435074362,1,0,FullD0Window
A,28.1505030786835,2.95241349590958,6.80470505191119,0.202122693028991,8.078478894838,1,0,FullD0Window
A,30.1755633521084,3.15083734346331,6.00037578557355,0.21432246331091,8.07431793743972,1,0,FullD0Window
A,32.2032291993562,3.35121413306422,7.43991455337169,0.150196143404474,8.0593913774701,1,1,FullD0Window
A,34.2119781369112,3.55395799586677,9.66095853153055,0.0945604754541941,8.04568813654426,1,0,FullD0Window
A,36.2289819735215,3.75856469738346,10.8646471436478,0.105588482313839,8.02690741280124,1,0,FullD0Window
A,38.2498812895481,3.96407081650352,10.599693238876,0.105924728372721,8.01801386322266,1,0,FullD0Window
A,40.2626205768263,4.16955051701666,8.87918627950087,0.100691941057938,8.02556975970058,1,1,FullD0Window
A,42.2576662734554,4.37444192769192,6.61285730805731,0.140945057346828,8.05067715455242,1,0,FullD0Window
A,44.2558893863228,4.5788988135298,6.19707954021028,0.148775863323164,8.06529827841312,1,0,FullD0Window
A,46.2678951527707,4.78320081040192,8.56068092320196,0.138727580105264,8.06360079272518,1,0,FullD0Window
A,48.2881903365269,4.98776247480544,12.5074637924539,0.149749935127386,8.0534243670696,1,1,FullD0Window
A,50.3083434280078,5.19333315328186,17.0457647339411,0.134813010303079,8.04401093630037,1,0,FullD0Window
A,52.3211876647359,5.40025083754131,18.9544188004584,0.123543523838813,8.04212556296549,1,0,FullD0Window
A,54.3314959454959,5.60837583589034,16.5256197052176,0.142649658899826,8.04166010224215,1,0,FullD0Window
A,56.3416147035965,5.81686953822123,12.4578470935636,0.166408860695455,8.04343791125045,1,1,FullD0Window
A,58.3523543643082,6.02585858010002,8.31762333274364,0.181321926282379,8.0460452939688,1,0,FullD0Window
A,60.3633132277014,6.23602741257025,4.87432676291816,0.228599842129808,8.04819591359757,1,0,FullD0Window
A,62.3731560477381,6.44769443388373,3.3311412853242,0.297549287240074,8.04934512454852,1,0,FullD0Window
A,64.3850526148469,6.66141500137712,3.00315416332996,0.371464437155052,8.04653051662069,1,1,FullD0Window
A,66.398399658277,6.87706361810569,2.82950758429802,0.472409883286618,8.04407207636739,1,0,FullD0Window
A,68.4115091412989,7.09209953318214,2.80379521621201,0.504643535347378,8.04250286393001,1,0,FullD0Window
A,70.4225011722866,7.30320338312038,2.9072584122742,0.461341887943661,8.04232540522216,1,0,FullD0Window
A,72.4315831314676,7.51016873286073,3.00891515058024,0.382496754442072,8.04203973464146,1,1,FullD0Window
A,74.4424717346444,7.71263368065718,2.95681406150542,0.290133281245749,8.03816212732998,1,0,FullD0Window
A,76.4540120052289,7.91094685835458,2.79325708037707,0.232081271443903,8.03570996554578,1,0,FullD0Window
A,78.4648265775088,8.10593950692623,2.60923935540244,0.234412350605714,8.03540407363528,1,0,FullD0Window
A,80.4736228661091,8.29848017443248,2.45927279098523,0.281091249185856,8.03729009499644,1,1,FullD0Window
A,82.4806338619744,8.48946835253935,2.51609111358247,0.346840929077655,8.04016070459809,1,0,FullD0Window
A,84.4897219707747,8.67949372666237,2.70194763783558,0.425448221910176,8.03923311311303,1,0,FullD0Window
A,86.500230651144,8.86848252772393,2.74387425628791,0.486331976571406,8.0343026619542,1,0,FullD0Window
A,88.5109129611055,9.0540612934592,2.63573279947683,0.526692910678073,8.02918277676892,1,1,FullD0Window
A,90.5207945665725,9.23613502060812,2.49592336762803,0.57726369193928,8.0267996476008,1,0,FullD0Window
A,92.5289550838878,9.41451397133574,2.38061490446204,0.639933722444151,8.02694194120993,1,0,FullD0Window
A,94.5345333130982,9.58885639482867,2.40602076196769,0.703899166981461,8.02936488110922,1,0,FullD0Window
A,96.5400957378744,9.75869639469079,2.66013478452949,0.761633379941656,8.03052324425212,1,1,FullD0Window
A,98.5475942141733,9.92383727491915,2.9270023819515,0.817163872714243,8.02760656268242,1,0,FullD0Window
A,100.555897025098,10.0839499162248,3.0557228386952,0.858960923856801,8.02170819808815,1,0,FullD0Window
A,102.563898194207,10.2380525166201,3.22985334462276,0.88287222478294,8.01838546025256,1,0,FullD0Window
A,104.570618982127,10.3855973371462,3.55922739997995,0.920797294471797,8.01705466171943,1,1,FullD0Window
A,106.575200776856,10.5262445762144,3.77579858936933,0.994729108262581,8.01588638103848,1,0,FullD0Window
A,108.577605223186,10.6598609968416,3.85609281633643,1.07893893423765,8.01457103756394,1,0,FullD0Window
A,110.58228365446,10.7865395595995,4.09636709214694,1.15135170546132,8.01336739652318,1,0,FullD0Window
A,112.587673643846,10.9064225772782,4.46226816837315,1.20239887370229,8.011402739891,1,1,FullD0Window
A,114.591087157894,11.0187543076282,4.62499929814124,1.19632834526654,8.00895958508094,1,0,FullD0Window
A,116.59217626075,11.1209065291973,4.60693309349881,1.14335332246368,8.00711883670346,1,0,FullD0Window
A,118.595651050983,11.2131357367957,4.20422638494008,1.0697879937736,8.0044370989003,1,0,FullD0Window
A,120.599076383737,11.295792309442,3.16387577651349,0.967935627162481,8.00249882957831,1,1,FullD0Window
A,122.600046742975,11.3696041290985,1.77555254633346,0.847251366351175,8.00258211448643,1,0,FullD0Window
A,124.599295097453,11.4348414065041,0.687233305914099,0.713236122728441,8.00431534696253,1,0,FullD0Window
A,126.600088149883,11.4918682467164,0.361693960495688,0.569819546046439,8.00504410323406,1,0,FullD0Window
A,128.601575213315,11.5411624816625,0.703609773581948,0.453640923452279,8.00462311995065,1,1,FullD0Window
A,130.602628857462,11.5853744521889,1.34417478635563,0.379035681343278,8.00323950881477,1,0,FullD0Window
A,132.603610444416,11.6251695887577,2.55134171662623,0.342977754992427,7.99993144646595,1,0,FullD0Window
A,134.605132253118,11.6612073855778,3.81652039258392,0.346945713872495,7.99769508088932,1,0,FullD0Window
A,136.606198333266,11.6943034562914,4.54052317708235,0.35417287793083,7.99846309087982,1,1,FullD0Window
A,138.605868366276,11.7250274246405,4.66633367085331,0.34596240240185,8.0014096182687,1,0,FullD0Window
A,140.603541890882,11.7539615175917,4.23260207000248,0.315177981573107,8.00465483458626,1,0,FullD0Window
A,142.602827334007,11.7802437317349,3.71637822018807,0.248812062300094,8.00310401341076,1,0,FullD0Window
A,144.604661424146,11.8023328398945,3.54878903150727,0.174619483275987,8.00145917244512,1,1,FullD0Window
A,146.607277984545,11.8216084798206,3.65838971901849,0.144766640680825,8.00099797078121,1,0,FullD0Window
A,148.608196725468,11.8391711075496,4.07250193915408,0.188180812912292,8.00219880577009,1,0,FullD0Window
A,150.605931347418,11.8558562437039,4.67891518485325,0.271103583169917,8.00431909338855,1,0,FullD0Window
A,152.606120596591,11.8713873536615,5.5843990990259,0.353324025206902,8.00365774184152,1,1,FullD0Window
