Road,ValidCandidateCount,Spearman_Dstar_K,p_Dstar_K,Spearman_Dstar_G,p_Dstar_G,MeanDstar_m
A,246,0.198397494674773,0.00179742568836734,0.15829616926261,0.0129969287573978,7.88789422572317
B,246,-0.290611680635521,3.93853391931094e-06,-0.0864405720815037,0.176448646793388,7.78782454839733
C,246,-0.275546679617833,1.25552843826083e-05,0.0817966922129768,0.200911741709984,7.9398208812483
Pooled,738,-0.138574624454903,0.00016133944023235,0.1449992102681,7.83975600662975e-05,7.8718465517896
