Method,Road,WaypointCount,ConstraintFeasible,MeanSpacing_m,MinSpacing_m,MaxSpacing_m,MinAdjacentOverlap_pct,MinIntervalCoverage_pct,TotalRoadCoverage_pct,MeanFootprintUtilization_pct,MeanCameraGroundDistance_m
a,A,240,1,2.01110766285138,1.97494104383768,2.05199833300179,86.5011452794107,100,100,12.7352866153242,30
b,A,121,1,4.02216994376765,3.97451033635366,4.07935015083461,82.9953418939011,100,100,14.5294263812346,30
c,A,63,1,7.81717313914479,4.01893535814861,8.13665300425546,80.076642587475,100,100,14.3875070526846,30
a,B,240,1,2.02124746428454,1.80256754883104,2.25496785083538,84.4611684937229,100,100,9.97514788497232,30
b,B,241,1,2.01947038183713,1.59474767690716,2.25496785083538,83.8345019017663,100,100,11.3118898102977,30
c,B,65,1,7.57301393188925,1.59474767690716,8.40912327818489,80.2985685265903,100,99.9999999999999,11.1529465734338,30
a,C,123,1,4.01882186931385,3.76618204699638,4.2817423016289,81.675938793593,100,99.9999999999999,9.37811431488339,30
b,C,121,1,4.01914609861555,3.76618204699638,4.2817423016289,84.4824659428649,100,99.9999999999999,11.3236881474891,30
c,C,62,1,7.93916022921193,4.09852303577455,8.27661804409456,80.0674598304214,100,99.9999999999999,11.2296867687707,30
