ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,RunCount,J_Mean,J_SD,L3D_Mean_m,L3D_SD_m,Hplus_Mean_m,Hplus_SD_m,FlightTime_Mean_s,FlightTime_SD_s,TransferEnergy_Mean_kJ,TransferEnergy_SD_kJ,TransferLength_Mean_m,TransferLength_SD_m,DetourCount_Mean,UnsafeStraightCount_Mean,MinimumTransferClearance_Mean_m,Improvement_Mean_pct,Improvement_SD_pct,Gap_Mean_pct,Gap_SD_pct,Runtime_Mean_s,Runtime_SD_s,Generations_Mean,J_MeanPlusMinusSD,L3D_MeanPlusMinusSD_m,Hplus_MeanPlusMinusSD_m,FlightTime_MeanPlusMinusSD_s,TransferEnergy_MeanPlusMinusSD_kJ,Improvement_MeanPlusMinusSD_pct,Gap_MeanPlusMinusSD_pct,Runtime_MeanPlusMinusSD_s
10,1,R10_I01,2,NN_DP,Nearest neighbour-DP,1,401.456917608785,0,8562.40895026932,0,383.490909668779,0,1469.4115254375,0,82.7364202925027,0,3737.67989153613,0,4,3,25,14.3070622924978,0,0.702171050657485,0,0.0001699,0,0,401.457 ± 0.000,8562.409 ± 0.000,383.491 ± 0.000,1469.412 ± 0.000,82.736 ± 0.000,14.307 ± 0.000,0.702 ± 0.000,0.0002 ± 0.0000
10,1,R10_I01,3,JOINT_GA,Joint-encoding GA,20,399.312717443809,0.504692350131801,8366.96215523518,46.0034020716636,386.913467818026,0.8055865977539,1460.46647864148,2.10544554713807,80.5922201275268,0.504692350131801,3542.23309650199,46.0034020716633,4,2.05,25.8288422049983,14.7647522789206,0.107729044448656,0.164316047270407,0.126597931538093,0.3008752,0.023055130725468,150,399.313 ± 0.505,8366.962 ± 46.003,386.913 ± 0.806,1460.466 ± 2.105,80.592 ± 0.505,14.765 ± 0.108,0.164 ± 0.127,0.3009 ± 0.0231
10,1,R10_I01,4,GA_DP,Proposed GA-DP,20,398.657658936504,5.8320117209698e-14,8391.98378799283,1.86624375071033e-12,385.384854995631,1.16640234419396e-13,1458.66013408397,4.66560937677584e-13,79.8178409366273,1.45800293024245e-14,3567.25472925965,9.33121875355167e-13,4,2,25.8724654789456,14.9045777132303,3.64500732560612e-15,0,0,0.16170676,0.00754392774797962,150,398.658 ± 0.000,8391.984 ± 0.000,385.385 ± 0.000,1458.660 ± 0.000,79.818 ± 0.000,14.905 ± 0.000,0.000 ± 0.000,0.1617 ± 0.0075
10,1,R10_I01,5,EXACT,Exact optimum,1,398.657658936504,0,8391.98378799284,0,385.384854995631,0,1458.66013408397,0,79.8178409366273,0,3567.25472925965,0,4,2,25.8724654789456,14.9045777132303,0,0,0,0.0493457,0,0,398.658 ± 0.000,8391.984 ± 0.000,385.385 ± 0.000,1458.660 ± 0.000,79.818 ± 0.000,14.905 ± 0.000,0.000 ± 0.000,0.0493 ± 0.0000
10,2,R10_I02,1,FIXED,Fixed order + fixed direction,1,496.260260456999,0,12686.7330647452,0,710.20164129514,0,1779.97355067505,0,177.056317944259,0,7858.62614660903,0,9,8,25,0,0,26.1601165680111,0,2.86e-05,0,0,496.260 ± 0.000,12686.733 ± 0.000,710.202 ± 0.000,1779.974 ± 0.000,177.056 ± 0.000,0.000 ± 0.000,26.160 ± 0.000,0.0000 ± 0.0000
10,2,R10_I02,2,NN_DP,Nearest neighbour-DP,1,423.471971271581,0,9344.07232468508,0,516.061619187063,0,1540.86130087069,0,104.448662772956,0,4515.96540654887,0,5,5,25,14.6673620648947,0,7.65575548948774,0,0.0001917,0,0,423.472 ± 0.000,9344.072 ± 0.000,516.062 ± 0.000,1540.861 ± 0.000,104.449 ± 0.000,14.667 ± 0.000,7.656 ± 0.000,0.0002 ± 0.0000
10,2,R10_I02,3,JOINT_GA,Joint-encoding GA,20,401.873703833846,7.55348529584007,8554.35760724357,294.872614336706,413.2441273669,38.3829134160699,1477.0628959678,21.4067678724475,82.7922280841783,7.54807225082128,3726.25068910736,294.872614336705,4.7,4.5,25.0872465478946,19.0195677840964,1.52208143543152,2.16500768086317,1.92025971320046,0.29664452,0.0109066826092804,150,401.874 ± 7.553,8554.358 ± 294.873,413.244 ± 38.383,1477.063 ± 21.407,82.792 ± 7.548,19.020 ± 1.522,2.165 ± 1.920,0.2966 ± 0.0109
10,2,R10_I02,4,GA_DP,Proposed GA-DP,20,393.750622513104,1.47997041747739,8171.24004968774,194.510554180728,395.342538945714,20.2679196521987,1451.15618584595,8.22570013177344,74.6779287932306,1.47261919742585,3343.13313155152,194.510554180728,5.05,4.25,25.6543491092092,20.6564269017823,0.298224648516992,0.0999443099364658,0.376240564203578,0.16138796,0.00516880587811964,150,393.751 ± 1.480,8171.240 ± 194.511,395.343 ± 20.268,1451.156 ± 8.226,74.678 ± 1.473,20.656 ± 0.298,0.100 ± 0.376,0.1614 ± 0.0052
10,2,R10_I02,5,EXACT,Exact optimum,1,393.357484090047,0,8422.49598079819,0,358.551869053729,0,1460.20038189263,0,74.2369896828303,0,3594.38906266198,0,5,5,25,20.7356471123016,0,0,0,0.0492912,0,0,393.357 ± 0.000,8422.496 ± 0.000,358.552 ± 0.000,1460.200 ± 0.000,74.237 ± 0.000,20.736 ± 0.000,0.000 ± 0.000,0.0493 ± 0.0000
10,3,R10_I03,1,FIXED,Fixed order + fixed direction,1,475.780570405602,0,12016.5832916509,0,581.783197117014,0,1743.34779803888,0,155.96957552006,0,7181.05133198519,0,9,9,25,0,0,21.8161742102402,0,2.67e-05,0,0,475.781 ± 0.000,12016.583 ± 0.000,581.783 ± 0.000,1743.348 ± 0.000,155.970 ± 0.000,0.000 ± 0.000,21.816 ± 0.000,0.0000 ± 0.0000
