FromRoad,ToRoad,CoarseEnergy_kJ,FineEnergy_kJ,RelativeDifference_pct,CoarseMinimumClearance_m,FineMinimumClearance_m
1,2,16.4832008478284,16.4832008478284,0,30.0324506988893,30.0324506988893
1,5,17.6554616188526,18.1396123039174,2.66902443642762,29.5338955012817,29.5338955012817
3,8,39.3310908732493,39.952715406927,1.55590058734763,29.7953358966627,29.7953358966627
6,12,12.0586974020779,12.3875573795978,2.65476047813551,28.3444385886401,28.3444385886401
10,18,6.12695004475779,6.14547412327031,0.301426352807733,25,25
15,20,4.35152886983197,4.35152886983197,0,26.5309464512964,26.5309464512964
