ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,Run,Seed,J,L3D_m,Hplus_m,FlightTime_s,TransferEnergy_kJ,TransferLength_m,DetourCount,UnsafeStraightCount,MinimumTransferClearance_m,ImprovementVsFixed_pct,GapToExact_pct,Runtime_s,Generations,OrderLibraryIndices,OrderRouteIDs,Directions,Feasible,OptimalityCertified,ExactSolverGap_pct
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,17,20763017,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2522784,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,18,20763018,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2526809,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,19,20763019,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2643649,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,20,20763020,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2494807,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,1,20763501,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1759473,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,2,20763502,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1421603,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,3,20763503,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1408319,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,4,20763504,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1319884,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,5,20763505,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1477946,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,6,20763506,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1331139,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,7,20763507,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1329813,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,8,20763508,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1393068,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,9,20763509,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1324698,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,10,20763510,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1337711,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,11,20763511,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1302579,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,12,20763512,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.137167,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,13,20763513,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1378699,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,14,20763514,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1351141,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,15,20763515,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1339224,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,16,20763516,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1415424,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,17,20763517,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1724815,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,18,20763518,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1320851,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,19,20763519,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1352226,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,4,GA_DP,Proposed GA-DP,20,20763520,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.1317544,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,5,EXACT,Exact optimum,1,NaN,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.0278539,0,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,1,0
5,2,R05_I02,1,FIXED,Fixed order + fixed direction,1,NaN,241.48726498885,6399.13867258781,252.774128671458,907.528345208486,82.3057590356318,3992.23042277678,5,4,28.2695353204216,0,10.7457535422222,6.69e-05,0,4-21-20-24-12,M001_S001200|M002_S011200|M005_S006200|M007_S007800|F132_S000000,+++++,1,0,NaN
5,2,R05_I02,2,NN_DP,Nearest neighbour-DP,1,NaN,224.703169685233,5587.97217287817,208.774955201094,833.484854083825,65.575926503683,3181.06392306713,4,2,25.204433963884,6.95030245358553,3.04858871653533,0.0003288,0,4-12-21-20-24,M001_S001200|F132_S000000|M002_S011200|M005_S006200|M007_S007800,--+--,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,1,20764001,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2598261,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,2,20764002,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2586463,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,3,20764003,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2697807,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,4,20764004,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.3284586,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,5,20764005,219.74986492537,5308.43028335086,208.774955201094,815.399556558143,60.5110495614049,2901.52203353982,3,3,25.204433963884,9.00146848923194,0.777009433956589,0.2522721,150,4-12-24-20-21,M001_S001200|F132_S000000|M007_S007800|M005_S006200|M002_S011200,--++-,1,0,NaN
