road_id,short_id,road_class,source_feature_id,paper_road_id,horizontal_length_m,original_vertex_count,resampled_vertex_count,dem_valid_fraction,elevation_raw_min_m,elevation_raw_max_m,elevation_raw_mean_m,elevation_smooth_min_m,elevation_smooth_max_m,elevation_smooth_range_m,absolute_grade_p95_percent,three_dimensional_length_m,representative_longitude_deg,representative_latitude_deg,google_maps_lookup_url
MORND-MAJ-001,M001,Major,1,,2282.98866397511,244,1143,0.993000874890639,775.644265152748,836.709082981943,812.810482783175,776.205170960943,836.394642713549,60.1894717526056,14.4477109826018,2291.68405966548,99.0678662210346,24.2462131527292,"https://www.google.com/maps/search/?api=1&query=24.24621315,99.06786622"
MORND-MAJ-002,M002,Major,2,A,2108.15279929778,399,1056,1,824.813793563105,990.240452889196,904.565344592527,825.967104164482,989.973479790928,164.006375626446,16.9502403252773,2117.96664439301,99.0659983325898,24.2491631910777,"https://www.google.com/maps/search/?api=1&query=24.24916319,99.06599833"
MORND-MAJ-003,M003,Major,3,,364.164878644307,21,184,1,820.547726880405,862.842469917829,843.278438244638,821.382711493151,862.403387427859,41.0206759347086,19.7048154601985,367.397396999038,99.060433369022,24.2457634415349,"https://www.google.com/maps/search/?api=1&query=24.24576344,99.06043337"
MORND-MAJ-004,M004,Major,4,,938.3605026827,51,471,0.993630573248408,846.103490994069,892.899083800517,871.532702026134,846.375300051632,892.128197413411,45.7528973617793,9.73980939150538,940.965695742687,99.059663178326,24.2492708718471,"https://www.google.com/maps/search/?api=1&query=24.24927087,99.05966318"
MORND-MAJ-005,M005,Major,5,,1815.42394610091,87,909,0.992299229922992,892.020902391388,1019.22991521751,953.337912073671,892.71100672524,1019.12216980299,126.411163077751,10.4977053277244,1821.58598547753,99.0666194526509,24.2533820799495,"https://www.google.com/maps/search/?api=1&query=24.25338208,99.06661945"
MORND-MAJ-006,M006,Major,6,,379.752677651225,27,191,0.984293193717278,819.302209686284,830.253752370826,825.681951891218,819.552047465116,830.071088784591,10.5190413194748,13.0244083287558,381.051667414865,99.0598530386363,24.2425968990369,"https://www.google.com/maps/search/?api=1&query=24.24259690,99.05985304"
MORND-MAJ-007,M007,Major,7,,2216.24108916333,204,1110,1,892.899083800517,1004.22373113221,953.186958957191,893.664285840067,1003.29548997581,109.631204135745,11.2072196122065,2223.57791903942,99.0620490944242,24.2557406357567,"https://www.google.com/maps/search/?api=1&query=24.25574064,99.06204909"
MORND-MAJ-008,M008,Major,8,,1072.59293262326,86,538,1,871.087126622203,895.108917754983,882.851472317825,871.706124749738,894.884723561571,23.1785988118329,12.1995367603892,1076.14068068865,99.0617708942783,24.2492274350455,"https://www.google.com/maps/search/?api=1&query=24.24922744,99.06177089"
MORND-MAJ-009,M009,Major,9,,1527.28173017093,99,765,1,961.18862989882,1013.02719213892,990.653466879322,961.83813566947,1012.47731404401,50.6391783745422,15.2617809720953,1533.47038358749,99.0645107966201,24.2577135962826,"https://www.google.com/maps/search/?api=1&query=24.25771360,99.06451080"
MORND-FLD-001,F001,Field,1,,635.548010108918,60,319,1,903.684102423533,913.775588861627,910.420582978139,903.934832933941,913.128713657951,9.19388072401023,9.71319462291808,637.222951609678,99.0685534094118,24.2499771262392,"https://www.google.com/maps/search/?api=1&query=24.24997713,99.06855341"
