road_id,short_id,road_class,source_feature_id,paper_road_id,representative_longitude_deg,representative_latitude_deg,coordinate_reference_system,google_maps_lookup_url,source_note
MORND-FLD-108,F108,Field,108,,99.0641469447143,24.2459009596359,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24590096,99.06414694",Manually digitized with Google satellite imagery as reference
MORND-FLD-109,F109,Field,109,,99.063537389775,24.2458855158252,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24588552,99.06353739",Manually digitized with Google satellite imagery as reference
MORND-FLD-110,F110,Field,110,,99.0635620292164,24.2471065757374,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24710658,99.06356203",Manually digitized with Google satellite imagery as reference
MORND-FLD-111,F111,Field,111,,99.0640420992404,24.2472836735769,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24728367,99.06404210",Manually digitized with Google satellite imagery as reference
MORND-FLD-112,F112,Field,112,,99.0591688625796,24.2448412518665,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24484125,99.05916886",Manually digitized with Google satellite imagery as reference
MORND-FLD-113,F113,Field,113,,99.058493474716,24.2456005205643,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24560052,99.05849347",Manually digitized with Google satellite imagery as reference
MORND-FLD-114,F114,Field,114,,99.0584162678817,24.2443785073394,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24437851,99.05841627",Manually digitized with Google satellite imagery as reference
MORND-FLD-115,F115,Field,115,,99.0583952155485,24.2450486181724,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24504862,99.05839522",Manually digitized with Google satellite imagery as reference
MORND-FLD-116,F116,Field,116,,99.0588411634452,24.2445445534473,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24454455,99.05884116",Manually digitized with Google satellite imagery as reference
MORND-FLD-117,F117,Field,117,,99.0589518818974,24.2452994763701,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24529948,99.05895188",Manually digitized with Google satellite imagery as reference
MORND-FLD-118,F118,Field,118,,99.0587210387722,24.2453251531673,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24532515,99.05872104",Manually digitized with Google satellite imagery as reference
MORND-FLD-119,F119,Field,119,,99.0594652386282,24.2454146483281,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24541465,99.05946524",Manually digitized with Google satellite imagery as reference
MORND-FLD-120,F120,Field,120,,99.0594436108279,24.2459549750628,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24595498,99.05944361",Manually digitized with Google satellite imagery as reference
MORND-FLD-121,F121,Field,121,,99.0590736289687,24.2459961374818,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24599614,99.05907363",Manually digitized with Google satellite imagery as reference
MORND-FLD-122,F122,Field,122,,99.0595889224465,24.2448003756874,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24480038,99.05958892",Manually digitized with Google satellite imagery as reference
MORND-FLD-123,F123,Field,123,,99.0598051535587,24.2462528859831,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24625289,99.05980515",Manually digitized with Google satellite imagery as reference
MORND-FLD-124,F124,Field,124,,99.0610571169066,24.2446939924641,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24469399,99.06105712",Manually digitized with Google satellite imagery as reference
MORND-FLD-125,F125,Field,125,,99.0613068329596,24.2452614759643,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24526148,99.06130683",Manually digitized with Google satellite imagery as reference
MORND-FLD-126,F126,Field,126,,99.0606839242596,24.2462550151865,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24625502,99.06068392",Manually digitized with Google satellite imagery as reference
MORND-FLD-127,F127,Field,127,,99.0612357010916,24.2449909815154,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24499098,99.06123570",Manually digitized with Google satellite imagery as reference
MORND-FLD-128,F128,Field,128,,99.0606546036731,24.2446877701886,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24468777,99.06065460",Manually digitized with Google satellite imagery as reference
MORND-FLD-129,F129,Field,129,,99.0629463947574,24.2512961767691,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25129618,99.06294639",Manually digitized with Google satellite imagery as reference
MORND-FLD-130,F130,Field,130,,99.0620123361152,24.2517650913277,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25176509,99.06201234",Manually digitized with Google satellite imagery as reference
MORND-FLD-131,F131,Field,131,,99.064822714398,24.2513270615271,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25132706,99.06482271",Manually digitized with Google satellite imagery as reference
MORND-FLD-132,F132,Field,132,,99.0642696536996,24.2511851570036,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25118516,99.06426965",Manually digitized with Google satellite imagery as reference
MORND-FLD-133,F133,Field,133,,99.0634889887615,24.2516114096436,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25161141,99.06348899",Manually digitized with Google satellite imagery as reference
MORND-FLD-134,F134,Field,134,,99.0639165085707,24.2517692517077,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25176925,99.06391651",Manually digitized with Google satellite imagery as reference
MORND-FLD-135,F135,Field,135,,99.0642187417802,24.2514551615082,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25145516,99.06421874",Manually digitized with Google satellite imagery as reference
MORND-FLD-136,F136,Field,136,,99.0646862772216,24.2522091499553,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25220915,99.06468628",Manually digitized with Google satellite imagery as reference
MORND-FLD-137,F137,Field,137,,99.0652116026443,24.252020047218,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25202005,99.06521160",Manually digitized with Google satellite imagery as reference
MORND-FLD-138,F138,Field,138,,99.0670883872803,24.251122855432,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25112286,99.06708839",Manually digitized with Google satellite imagery as reference
MORND-FLD-139,F139,Field,139,,99.0679520376296,24.2524759890655,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25247599,99.06795204",Manually digitized with Google satellite imagery as reference
MORND-FLD-140,F140,Field,140,,99.0671453995555,24.2526225065223,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25262251,99.06714540",Manually digitized with Google satellite imagery as reference
MORND-FLD-141,F141,Field,141,,99.06725088413,24.2532395510584,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25323955,99.06725088",Manually digitized with Google satellite imagery as reference
MORND-FLD-142,F142,Field,142,,99.0669043170638,24.2532053184623,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25320532,99.06690432",Manually digitized with Google satellite imagery as reference
MORND-FLD-143,F143,Field,143,,99.0682712940709,24.251795323991,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25179532,99.06827129",Manually digitized with Google satellite imagery as reference
MORND-FLD-144,F144,Field,144,,99.0684883006687,24.2520980971293,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25209810,99.06848830",Manually digitized with Google satellite imagery as reference
MORND-FLD-145,F145,Field,145,,99.0688059189945,24.2523858666248,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25238587,99.06880592",Manually digitized with Google satellite imagery as reference
MORND-FLD-146,F146,Field,146,,99.0693049656402,24.2523555728211,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25235557,99.06930497",Manually digitized with Google satellite imagery as reference
MORND-FLD-147,F147,Field,147,,99.0655175916599,24.2526303957872,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25263040,99.06551759",Manually digitized with Google satellite imagery as reference
MORND-FLD-148,F148,Field,148,,99.0650170135882,24.2526814946843,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25268149,99.06501701",Manually digitized with Google satellite imagery as reference
MORND-FLD-149,F149,Field,149,,99.0644793949553,24.2526720044415,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25267200,99.06447939",Manually digitized with Google satellite imagery as reference
MORND-FLD-150,F150,Field,150,,99.0707152545623,24.2526695439333,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25266954,99.07071525",Manually digitized with Google satellite imagery as reference
MORND-FLD-151,F151,Field,151,,99.0712128896938,24.2529349994955,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25293500,99.07121289",Manually digitized with Google satellite imagery as reference
MORND-FLD-152,F152,Field,152,,99.0715027451388,24.2540757962398,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25407580,99.07150275",Manually digitized with Google satellite imagery as reference
MORND-FLD-153,F153,Field,153,,99.0698205949334,24.2534019996315,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25340200,99.06982059",Manually digitized with Google satellite imagery as reference
MORND-FLD-154,F154,Field,154,,99.0703533193347,24.2533963763012,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25339638,99.07035332",Manually digitized with Google satellite imagery as reference
MORND-FLD-155,F155,Field,155,,99.0696514157962,24.2529846308747,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25298463,99.06965142",Manually digitized with Google satellite imagery as reference
MORND-FLD-156,F156,Field,156,,99.0691920132297,24.2528164948094,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25281649,99.06919201",Manually digitized with Google satellite imagery as reference
MORND-FLD-157,F157,Field,157,,99.0686875123235,24.2528830970823,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25288310,99.06868751",Manually digitized with Google satellite imagery as reference
MORND-FLD-158,F158,Field,158,,99.0680595048049,24.2530421481759,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25304215,99.06805950",Manually digitized with Google satellite imagery as reference
MORND-FLD-159,F159,Field,159,,99.0676336630155,24.2532702586243,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25327026,99.06763366",Manually digitized with Google satellite imagery as reference
MORND-FLD-160,F160,Field,160,,99.0685348280239,24.2539281977066,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25392820,99.06853483",Manually digitized with Google satellite imagery as reference
MORND-FLD-161,F161,Field,161,,99.0685825150274,24.2542304746346,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25423047,99.06858252",Manually digitized with Google satellite imagery as reference
MORND-FLD-162,F162,Field,162,,99.0687294754356,24.2536184085983,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25361841,99.06872948",Manually digitized with Google satellite imagery as reference
MORND-FLD-163,F163,Field,163,,99.0692226511704,24.2536813623421,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25368136,99.06922265",Manually digitized with Google satellite imagery as reference
MORND-FLD-164,F164,Field,164,,99.0693880649295,24.2545139715095,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25451397,99.06938806",Manually digitized with Google satellite imagery as reference
MORND-FLD-165,F165,Field,165,,99.0698984175386,24.2545947327677,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25459473,99.06989842",Manually digitized with Google satellite imagery as reference
MORND-FLD-166,F166,Field,166,,99.0696916574106,24.253930550006,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25393055,99.06969166",Manually digitized with Google satellite imagery as reference
MORND-FLD-167,F167,Field,167,,99.0595308345269,24.2524749422723,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25247494,99.05953083",Manually digitized with Google satellite imagery as reference
MORND-FLD-168,F168,Field,168,,99.0602897449346,24.2529244947212,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25292449,99.06028974",Manually digitized with Google satellite imagery as reference
MORND-FLD-169,F169,Field,169,,99.0599597107384,24.252277622684,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25227762,99.05995971",Manually digitized with Google satellite imagery as reference
MORND-FLD-170,F170,Field,170,,99.0600253119276,24.2519634993113,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25196350,99.06002531",Manually digitized with Google satellite imagery as reference
